id,name,is_closed,image_url,url,mobile_url,phone,display_phone,address,display_address,coordinate,review_count,categories,rating,rating_image_url,rating_image_url_small,rating_image_url_large,snippet_text,snippet_image_url
tommys-joynt-san-francisco,Tommy's Joynt,False,http://s3-media1.fl.yelpcdn.com/bphoto/vor1dfCkDVTeT4OlynqeZg/ms.jpg,http://www.yelp.com/biz/tommys-joynt-san-francisco,http://m.yelp.com/biz/tommys-joynt-san-francisco,4157754216,1-415-775-4216,1101 Geary Blvd,1101 Geary Blvd,"{u'latitude': 37.7854957581, u'longitude': -122.421806335}",2204,American (Traditional),4.0,http://s3-media4.fl.yelpcdn.com/assets/2/www/img/c2f3dd9799a5/ico/stars/v1/stars_4.png,http://s3-media4.fl.yelpcdn.com/assets/2/www/img/f62a5be2f902/ico/stars/v1/stars_small_4.png,http://s3-media2.fl.yelpcdn.com/assets/2/www/img/ccf2b76faa2c/ico/stars/v1/stars_large_4.png,"Can't go wrong with a bbq brisket sandwich!!! Always get extra beef and bbq sauce for that sourdough roll!

Cherry on top of the cake???
Barrel of...",http://s3-media1.fl.yelpcdn.com/photo/B9xlouNZUbbwvuKYJpwSEQ/ms.jpg
saigon-sandwich-san-francisco,Saigon Sandwich,False,http://s3-media4.fl.yelpcdn.com/bphoto/AALW7apeUbsarp59pqh_5Q/ms.jpg,http://www.yelp.com/biz/saigon-sandwich-san-francisco,http://m.yelp.com/biz/saigon-sandwich-san-francisco,4154745698,1-415-474-5698,560 Larkin St,560 Larkin St,"{u'latitude': 37.7830597444, u'longitude': -122.417336797}",2609,Vietnamese,4.5,http://s3-media2.fl.yelpcdn.com/assets/2/www/img/99493c12711e/ico/stars/v1/stars_4_half.png,http://s3-media2.fl.yelpcdn.com/assets/2/www/img/a5221e66bc70/ico/stars/v1/stars_small_4_half.png,http://s3-media4.fl.yelpcdn.com/assets/2/www/img/9f83790ff7f6/ico/stars/v1/stars_large_4_half.png,"I love this place! I would eat their banh mi everyday if I lived closer. They are cheap, amazingly delicious and super fast. I always get the barbecue...",http://s3-media2.fl.yelpcdn.com/photo/PIuo4Fal84gLX53TP0VaHg/ms.jpg
straw-san-francisco,Straw,False,http://s3-media1.fl.yelpcdn.com/bphoto/gZDB5C6Sa83Kigk7bEzaNw/ms.jpg,http://www.yelp.com/biz/straw-san-francisco,http://m.yelp.com/biz/straw-san-francisco,4154313663,1-415-431-3663,203 Octavia Blvd,203 Octavia Blvd,"{u'latitude': 37.774056, u'longitude': -122.424198}",1095,American (New),4.0,http://s3-media4.fl.yelpcdn.com/assets/2/www/img/c2f3dd9799a5/ico/stars/v1/stars_4.png,http://s3-media4.fl.yelpcdn.com/assets/2/www/img/f62a5be2f902/ico/stars/v1/stars_small_4.png,http://s3-media2.fl.yelpcdn.com/assets/2/www/img/ccf2b76faa2c/ico/stars/v1/stars_large_4.png,"I had a family member visiting so 5 of us made reservations for Straw on a Tuesday night. 

I was looking for a fun experience and I'd heard several good...",http://s3-media3.fl.yelpcdn.com/photo/KvQNR1V3XYioA10H_HfCbQ/ms.jpg
moms-bun-mi-san-francisco,Mom's Bun Mi,False,http://s3-media2.fl.yelpcdn.com/bphoto/tdxHbq1DYrttlt43KtKP8A/ms.jpg,http://www.yelp.com/biz/moms-bun-mi-san-francisco,http://m.yelp.com/biz/moms-bun-mi-san-francisco,4158298138,1-415-829-8138,"Leavenworth', u'520",Leavenworth,"{u'latitude': 37.7859844563, u'longitude': -122.414515619}",23,Vietnamese,5.0,http://s3-media1.fl.yelpcdn.com/assets/2/www/img/f1def11e4e79/ico/stars/v1/stars_5.png,http://s3-media1.fl.yelpcdn.com/assets/2/www/img/c7623205d5cd/ico/stars/v1/stars_small_5.png,http://s3-media3.fl.yelpcdn.com/assets/2/www/img/22affc4e6c38/ico/stars/v1/stars_large_5.png,"Yes! A new Banh Mi shop right in my hood!

And it is actual Banh Mi! Not one of those hipster sandwich shops that call themselves 'banh mi' and then charge...",http://s3-media4.fl.yelpcdn.com/photo/8GauG6aOWJbd9sDf5d6Drg/ms.jpg
state-bird-provisions-san-francisco,State Bird Provisions,False,http://s3-media2.fl.yelpcdn.com/bphoto/gm4-bN2OvSywW2sT60Msiw/ms.jpg,http://www.yelp.com/biz/state-bird-provisions-san-francisco,http://m.yelp.com/biz/state-bird-provisions-san-francisco,4157951272,1-415-795-1272,1529 Fillmore St,1529 Fillmore St,"{u'latitude': 37.78374, u'longitude': -122.433005}",1513,Tapas/Small Plates,4.5,http://s3-media2.fl.yelpcdn.com/assets/2/www/img/99493c12711e/ico/stars/v1/stars_4_half.png,http://s3-media2.fl.yelpcdn.com/assets/2/www/img/a5221e66bc70/ico/stars/v1/stars_small_4_half.png,http://s3-media4.fl.yelpcdn.com/assets/2/www/img/9f83790ff7f6/ico/stars/v1/stars_large_4_half.png,It's impossible to get a reservation here. I have a couple of brainy Ph.D. classmates that built web scrapers just to claim untaken reservations the second...,http://s3-media2.fl.yelpcdn.com/photo/NIecF8lOxf2XWhAmHhh9rQ/ms.jpg
pianofight-san-francisco,PianoFight,False,http://s3-media4.fl.yelpcdn.com/bphoto/a_zbxnfWFnRVNiE2UJcwTA/ms.jpg,http://www.yelp.com/biz/pianofight-san-francisco,http://m.yelp.com/biz/pianofight-san-francisco,4158163691,1-415-816-3691,144 Taylor St,144 Taylor St,"{u'latitude': 37.7838704221, u'longitude': -122.410740837}",74,Bars,4.5,http://s3-media2.fl.yelpcdn.com/assets/2/www/img/99493c12711e/ico/stars/v1/stars_4_half.png,http://s3-media2.fl.yelpcdn.com/assets/2/www/img/a5221e66bc70/ico/stars/v1/stars_small_4_half.png,http://s3-media4.fl.yelpcdn.com/assets/2/www/img/9f83790ff7f6/ico/stars/v1/stars_large_4_half.png,"Where did this place come from? It hosts cool live comedy, music and theater performances, with a great selection of beer/alcohol, and really good food! I...",http://s3-media3.fl.yelpcdn.com/photo/JRV9mxVGIT8WIl7sFdLbUQ/ms.jpg
cala-san-francisco-2,CALA,False,http://s3-media3.fl.yelpcdn.com/bphoto/wOCLPPbmWVYRvn33zYVXlg/ms.jpg,http://www.yelp.com/biz/cala-san-francisco-2,http://m.yelp.com/biz/cala-san-francisco-2,4156607701,1-415-660-7701,149 Fell St,149 Fell St,"{u'latitude': 37.7759971619, u'longitude': -122.42036438}",51,Mexican,4.0,http://s3-media4.fl.yelpcdn.com/assets/2/www/img/c2f3dd9799a5/ico/stars/v1/stars_4.png,http://s3-media4.fl.yelpcdn.com/assets/2/www/img/f62a5be2f902/ico/stars/v1/stars_small_4.png,http://s3-media2.fl.yelpcdn.com/assets/2/www/img/ccf2b76faa2c/ico/stars/v1/stars_large_4.png,"We came here for brunch on a Sunday, and the first few things that impressed me immediately: 
1. They take reservations for brunch! 
2. Chef Gabriela was at...",http://s3-media1.fl.yelpcdn.com/photo/Mew8QrqoNVNKIKtHWUgalg/ms.jpg
elephant-sushi-golden-gate-san-francisco-6,Elephant Sushi Golden Gate,False,http://s3-media4.fl.yelpcdn.com/bphoto/dRCk0E_-OCEKavzgUF7KRA/ms.jpg,http://www.yelp.com/biz/elephant-sushi-golden-gate-san-francisco-6,http://m.yelp.com/biz/elephant-sushi-golden-gate-san-francisco-6,4153599001,1-415-359-9001,380 Golden Gate Ave,380 Golden Gate Ave,"{u'latitude': 37.7815064, u'longitude': -122.4169539}",64,Sushi Bars,4.5,http://s3-media2.fl.yelpcdn.com/assets/2/www/img/99493c12711e/ico/stars/v1/stars_4_half.png,http://s3-media2.fl.yelpcdn.com/assets/2/www/img/a5221e66bc70/ico/stars/v1/stars_small_4_half.png,http://s3-media4.fl.yelpcdn.com/assets/2/www/img/9f83790ff7f6/ico/stars/v1/stars_large_4_half.png,"Very, very pleasant surprise.

This was a last-minute ""Our final destination in SF is in one part of the City, and I don't really want to deal with driving...",http://s3-media2.fl.yelpcdn.com/photo/yiSYjs9VtZYMbbFuR6DJ_g/ms.jpg
suppenküche-san-francisco-2,Suppenküche,False,http://s3-media4.fl.yelpcdn.com/bphoto/2oFivErr0G7eDkk6FJzKUg/ms.jpg,http://www.yelp.com/biz/suppenk%C3%BCche-san-francisco-2,http://m.yelp.com/biz/suppenk%C3%BCche-san-francisco-2,4152529289,1-415-252-9289,525 Laguna St,525 Laguna St,"{u'latitude': 37.776260376, u'longitude': -122.426391602}",2683,German,4.0,http://s3-media4.fl.yelpcdn.com/assets/2/www/img/c2f3dd9799a5/ico/stars/v1/stars_4.png,http://s3-media4.fl.yelpcdn.com/assets/2/www/img/f62a5be2f902/ico/stars/v1/stars_small_4.png,http://s3-media2.fl.yelpcdn.com/assets/2/www/img/ccf2b76faa2c/ico/stars/v1/stars_large_4.png,"Despite growing up in a German family, I never went out for German food except at Oktoberfest.  I guess we didn't consider it haute cuisine or maybe it was...",http://s3-media2.fl.yelpcdn.com/photo/-ekAw4QP-5c7SGZ4FKiNbQ/ms.jpg
souvla-san-francisco,Souvla,False,http://s3-media4.fl.yelpcdn.com/bphoto/JCeZKigwe3jZc12VfDfkGw/ms.jpg,http://www.yelp.com/biz/souvla-san-francisco,http://m.yelp.com/biz/souvla-san-francisco,4154005458,1-415-400-5458,517 Hayes St,517 Hayes St,"{u'latitude': 37.7765176785, u'longitude': -122.425000213}",426,Greek,4.0,http://s3-media4.fl.yelpcdn.com/assets/2/www/img/c2f3dd9799a5/ico/stars/v1/stars_4.png,http://s3-media4.fl.yelpcdn.com/assets/2/www/img/f62a5be2f902/ico/stars/v1/stars_small_4.png,http://s3-media2.fl.yelpcdn.com/assets/2/www/img/ccf2b76faa2c/ico/stars/v1/stars_large_4.png,"Good lord!!! They say keep it simple, and do whatever you do well. This place hits the nail on the head. I Love the lamb sandwich and salad. 

Pro tip: Call...",http://s3-media2.fl.yelpcdn.com/photo/t96cRTNmOahcYt7G_iOrzQ/ms.jpg
